Protein Group Accessions;Medium/Light
Q9Y4G8;4.558
P27348;4.551
Q9Y4G8;4.520
Q9Y4G8;4.520
P63104;4.517
O75152;4.501
Q9H4E7;4.484
Q9H4E7;4.484
Q9H4E7;4.484
Q9H4E7;4.484
Q9H4E7;4.484
P62753;4.452
A6NC98;4.441
A6NC98;4.441
A6NC98;4.441
A6NC98;4.441
P46013;4.439
Q8TEU7;4.423
Q8TEU7;4.397
Q8TEU7;4.397
O95456;4.386
Q86V48;4.383
Q9BTC0;4.382
Q9BTC0;4.373
Q9H4E7;4.371
A6NC98;4.322
A6NC98;4.322
P15056;4.292
P11717;4.286
P11717;4.286
Q9H4E7;4.275
Q9H4E7;4.275
Q9H4E7;4.275
O75995;4.255
Q9H4E7;4.215
Q9H4E7;4.215
Q9H4E7;4.215
Q9NYZ3;4.214
Q9UKA9;4.211
Q8TEU7;4.210
O95456;4.209
Q9UJU6;4.209
P11717;4.199
P11717;4.199
P11717;4.199
Q9Y4G8;4.190
Q9Y3P9;4.176
Q9Y3P9;4.176
Q9Y3P9;4.176
Q9Y3P9;4.176
Q9Y3P9;4.176
Q9Y3P9;4.176
Q9NZJ0;4.173
P23497;4.157
Q9Y2I7;4.141
Q9BQF6;4.134
Q9BQF6;4.134
Q9BQF6;4.134
Q01804;4.129
Q9Y3P9;4.077
Q9Y3P9;4.077
Q9Y3P9;4.077
Q9Y3P9;4.077
Q9Y3P9;4.077
Q9Y6A5;4.076
Q9Y6A5;4.076
P46013;4.066
P46013;4.066
Q14738;4.054
Q14738;4.054
Q14738;4.054
Q9Y6A5;4.050
Q9Y6A5;4.050
Q9NYZ3;4.049
Q9BT25;4.025
Q9BT25;4.025
O95456;4.023
Q96S55;4.016
Q96S55;4.016
A6NC98;4.010
A6NC98;4.010
A6NC98;4.010
A6NC98;4.010
P23497;4.007
P23497;4.007
P46013;3.976
P46013;3.976
P46013;3.976
P46013;3.976
Q9H4A3;3.973
O95456;3.941
O95456;3.941
Q8TBM8;3.941
Q9Y3P9;3.934
Q9Y3P9;3.934
Q9Y3P9;3.934
Q9Y3P9;3.934
P15056;3.929
Q14738;3.925
Q14738;3.925
Q14738;3.925
Q14738;3.925
Q14738;3.925
Q13362;3.919
Q7Z628;3.914
Q6DD87;3.904
Q9UKJ3;3.900
A6NC98;3.890
Q92620;3.887
Q92620;3.887
P27448;3.883
P11717;3.876
P11717;3.876
P11717;3.876
Q8WXE9;3.874
P46013;3.870
P46013;3.870
P46013;3.870
P46013;3.870
P46013;3.870
P46013;3.868
P46013;3.868
P46013;3.868
P46013;3.868
Q9UNL2;3.855
O75369;3.852
Q5THK1;3.851
Q96S55;3.837
Q9BZL4;3.816
P16220|Q03060;3.812
Q53EL6;3.802
Q14738;3.801
Q14738;3.801
Q14738;3.801
Q14738;3.801
Q14738;3.801
Q14738;3.801
Q8TEU7;3.799
Q14738;3.797
Q14738;3.797
Q14738;3.797
Q14738;3.797
P63104;3.795
Q14155;3.781
Q13362;3.746
Q13362;3.746
P15056;3.745
P11717;3.740
P11717;3.735
P11717;3.735
P11717;3.735
P13807;3.730
Q9BT25;3.721
Q9BT25;3.721
Q03188;3.710
Q13362;3.707
Q13362;3.707
Q9UJU6;3.688
P23497;3.684
P13807;3.680
Q9Y2I7;3.679
Q8TEU7;3.674
Q8TEU7;3.674
Q13362;3.651
A6NC98;3.637
P11717;3.634
Q14686;3.633
Q7Z5R6;3.631
Q9UJU6;3.628
Q9UJU6;3.628
Q9UJU6;3.628
Q9UJU6;3.628
P62753;3.628
Q9UKJ3;3.621
Q9UJU6;3.573
Q9UJU6;3.573
Q9UJU6;3.573
Q9NYZ3;3.573
P16220|Q03060;3.549
P16220|Q03060;3.549
Q9NZJ0;3.539
P18846;3.524
Q9UKJ3;3.516
Q9UJU6;3.514
Q9UJU6;3.514
Q9UJU6;3.514
Q9UJU6;3.514
Q9UKJ3;3.512
Q9UJU6;3.508
Q9UJU6;3.508
Q9UJU6;3.508
Q9UJU6;3.508
Q9UJU6;3.508
Q9Y6A5;3.503
Q9Y6A5;3.503
Q9Y6A5;3.503
Q9UJU6;3.501
Q9UJU6;3.501
Q9UJU6;3.501
Q9UJU6;3.501
Q9Y4B4;3.475
P11717;3.473
P11717;3.473
Q86YS7;3.464
P07195;3.453
Q9NZJ0;3.446
Q9Y6A5;3.439
Q9Y6A5;3.439
Q9Y6A5;3.439
P46013;3.438
P46013;3.438
P46013;3.438
P46013;3.438
P46013;3.438
Q9NPH3;3.436
Q9NZJ0;3.431
Q9NZJ0;3.431
P16333;3.430
Q9BT25;3.428
Q9BT25;3.428
Q9HCM4;3.405
Q8WXE9;3.403
Q9Y4B4;3.401
Q8TB68;3.399
Q9HCM4;3.399
Q9UKJ3;3.392
Q9UKJ3;3.392
Q9UKJ3;3.392
Q9HCM4;3.390
Q13535;3.375
Q9NZJ0;3.370
Q9NZJ0;3.370
Q9UKJ3;3.368
Q9UKJ3;3.368
Q9UKJ3;3.368
Q9UKJ3;3.368
P15056;3.362
P15056;3.362
Q14738;3.353
Q14738;3.353
Q14738;3.353
Q14738;3.353
Q96S55;3.343
Q96S55;3.343
Q7Z401;3.337
Q7Z401;3.337
Q9Y6A5;3.314
Q9Y6A5;3.314
Q9Y6A5;3.314
Q9NZJ0;3.302
Q9NZJ0;3.302
P15056;3.299
P15056;3.299
Q14686;3.298
Q7Z401;3.297
Q9NZJ0;3.286
Q53EL6;3.264
Q96S55;3.262
Q96S55;3.262
Q96S55;3.262
Q9HAW4;3.254
Q9BQF6;3.248
Q9BQF6;3.248
Q9BQF6;3.248
Q9BQF6;3.248
Q9BQF6;3.248
P78371;3.242
P78371;3.242
P78371;3.242
P16333;3.230
P16333;3.230
Q66K74;3.219
Q66K74;3.219
P16333;3.216
P16333;3.216
P16333;3.216
O75962;3.206
O75962;3.206
Q9UKJ3;3.198
Q9UKJ3;3.198
Q9UKJ3;3.198
Q96S55;3.195
Q96S55;3.195
Q96S55;3.195
P15056;3.186
P15056;3.186
P16333;3.183
P16333;3.183
Q9Y6A5;3.180
Q9Y6A5;3.180
Q9Y6A5;3.180
Q96S55;3.179
Q96S55;3.179
Q96S55;3.179
P11717;3.178
P11717;3.178
Q9HCM4;3.175
Q6AHZ1;3.170
Q9NZJ0;3.163
Q9Y4B4;3.162
O75962;3.159
O75962;3.159
P16333;3.158
P16333;3.158
Q9BQF6;3.149
Q9BQF6;3.149
P78371;3.146
P33778|P06899|P23527|Q16778;3.137
P67809|P16989|Q9Y2T7;3.135
P67809|P16989|Q9Y2T7;3.135
P62753;3.132
P62753;3.132
Q9Y4B4;3.132
Q7Z401;3.130
Q7Z401;3.130
Q7Z401;3.130
Q9P2M7;3.129
Q9P2M7;3.129
Q9P2M7;3.129
P78371;3.124
Q9BQF6;3.122
P62753;3.108
P62753;3.108
P35611|P35612|Q9UEY8;3.083
Q15648;3.082
Q15648;3.082
Q15648;3.082
P16333;3.074
P16333;3.074
O75995;3.069
Q7Z401;3.067
Q7Z401;3.067
Q7Z401;3.067
O43295;3.067
O75962;3.040
O75962;3.040
O75962;3.040
Q9BQF6;3.030
Q9BQF6;3.030
Q9BQF6;3.030
Q9BQF6;3.030
Q9NZJ0;3.026
Q8IYW5;3.016
Q9UQ84;3.015
Q9UQ84;3.015
Q14155;3.005
Q9H4A3;3.002
Q9H4A3;3.002
Q14155;2.998
Q7Z4V5;2.997
P62753;2.995
P62753;2.995
Q13535;2.979
Q9NZJ0;2.963
Q99549;2.961
Q9H9B1;2.960
O95294;2.959
Q13535;2.938
Q13535;2.938
Q9NQS7;2.936
O95294;2.929
Q9UQ84;2.928
Q9UQ84;2.928
Q9UQ84;2.928
Q9UQ84;2.928
Q9UQ84;2.928
P20700;2.923
Q9BXB4;2.917
P53367;2.911
P53367;2.909
P53367;2.909
P08579|P09012;2.905
Q8NEY1;2.900
Q8TB68;2.893
Q9P2M7;2.890
Q9P2M7;2.890
Q9P2M7;2.890
Q9BQF6;2.884
Q9BQF6;2.884
Q9BQF6;2.884
Q9BQF6;2.884
Q9BQF6;2.884
Q9BQF6;2.884
Q9UQ84;2.873
Q9UQ84;2.873
Q9UQ84;2.873
Q9UQ84;2.873
Q9P2M7;2.860
Q9P2M7;2.860
Q9P2M7;2.860
Q13535;2.848
Q13535;2.841
Q13535;2.841
Q7Z4V5;2.835
Q7Z4V5;2.835
Q92845;2.834
Q9Y4B4;2.800
P78371;2.797
P78371;2.797
P78371;2.797
P13807;2.784
P13807;2.784
Q13765;2.770
Q7Z5R6;2.752
Q9P2M7;2.732
P34931|P08107|P54652|P11142;2.724
O15511;2.714
O15511;2.714
Q4LE39;2.689
Q9ULH0;2.681
Q9Y4B4;2.678
O15511;2.661
Q14493;2.660
Q13535;2.658
Q7Z5R6;2.652
P13807;2.631
Q9P2M7;2.617
O15511;2.596
Q7Z4V5;2.595
Q7Z4V5;2.595
P78371;2.595
P78371;2.595
P78371;2.595
P16220|Q03060;2.589
Q9NYZ3;2.584
P53367;2.581
P53367;2.581
P53367;2.581
Q8TDZ2;2.577
Q8TDZ2;2.577
P20700;2.577
Q6ZUM4;2.568
Q7Z4V5;2.560
Q96QT4;2.556
P16220|Q03060;2.537
P16220|Q03060;2.537
Q9P2M7;2.536
Q7Z5R6;2.536
Q7Z5R6;2.536
Q7Z5R6;2.536
P27448;2.528
Q6AHZ1;2.519
Q9BTC0;2.518
Q9BTC0;2.518
Q15648;2.517
Q15648;2.517
Q6ZUM4;2.515
Q9NP64;2.506
Q9BXB4;2.502
P53367;2.497
P53367;2.497
P53367;2.497
Q9NQS7;2.496
Q9NQS7;2.496
Q9UK76;2.495
Q9NSY1;2.487
Q9BQ48;2.485
Q9NSY1;2.484
P13807;2.482
P13807;2.482
Q9NQS7;2.479
Q6NT76;2.464
P39748;2.462
P39748;2.462
Q4LE39;2.462
Q4LE39;2.462
Q4LE39;2.462
Q4LE39;2.462
Q9BXB4;2.457
Q9NYZ3;2.457
Q99549;2.440
P53367;2.438
P46776;2.435
Q9NYZ3;2.432
Q7Z4V5;2.431
Q7Z4V5;2.431
Q96KR1;2.423
P16220|Q03060;2.421
P16220|Q03060;2.421
Q9BXB4;2.421
P51523;2.420
Q8TDZ2;2.415
Q8TDZ2;2.415
Q14493;2.410
Q14493;2.410
O00566;2.408
Q00537;2.404
Q9UK76;2.402
Q8TBM8;2.391
