Protein Group Accessions;Heavy/Light
P15882;1.898
Q9Y2H9;1.889
Q9Y2H9;1.889
Q8TB68;1.879
Q9H4E7;1.878
P16220|Q03060;1.867
Q6ZU80;1.855
P16220|Q03060;1.837
P16220|Q03060;1.837
Q53EL6;1.829
P13010;1.829
Q9H4E7;1.828
Q9H4E7;1.828
Q9H4E7;1.828
O75995;1.824
Q9NZJ0;1.824
P62753;1.818
P62753;1.818
O95747;1.813
O95747;1.813
O95747;1.813
Q9NZJ0;1.810
P62753;1.810
P15056;1.809
Q13112;1.807
P78371;1.803
P78371;1.803
P78371;1.803
Q8TEU7;1.800
Q8TEU7;1.800
P35579;1.788
P35579;1.788
Q9Y2I7;1.785
Q9NYF5;1.782
Q9NQS7;1.780
P49458;1.779
Q9BZL4;1.774
Q8WWI1;1.767
O75558;1.765
Q9NQS7;1.759
Q9NQS7;1.759
O95747;1.758
O95747;1.758
Q6JBY9;1.757
Q6JBY9;1.757
P30050;1.757
Q01469;1.756
Q9UNL2;1.755
Q15121;1.748
Q9Y3P9;1.748
Q9Y3P9;1.748
Q9Y3P9;1.748
Q9Y3P9;1.748
Q9Y3P9;1.748
Q9Y3P9;1.748
Q6ZU80;1.741
Q9H410;1.740
Q66K74;1.738
Q66K74;1.738
Q9H4E7;1.737
Q9H4E7;1.737
Q9H4E7;1.737
Q99490;1.737
P40925;1.734
P40925;1.734
Q9Y3P9;1.732
Q9Y3P9;1.732
Q9Y3P9;1.732
Q9Y3P9;1.732
Q9Y3P9;1.732
Q16875;1.730
Q9H410;1.729
Q16666;1.724
Q14722|Q13303;1.723
P15882;1.723
P15882;1.723
P15882;1.723
Q9BTC0;1.718
Q9BTC0;1.718
Q15121;1.717
Q9UQ84;1.717
Q9UQ84;1.717
Q9UQ84;1.717
Q9UQ84;1.717
Q9BTC0;1.715
Q9BTC0;1.715
O95747;1.710
O95747;1.710
Q86X02;1.707
Q9UKA9;1.704
Q00537;1.695
Q15052;1.694
Q9BTC0;1.694
Q9BTC0;1.694
Q9BTC0;1.694
Q16875;1.680
Q16875;1.680
P21333|O75369|Q14315;1.680
Q9H2G2;1.679
Q9H2G2;1.679
Q9NRH2;1.678
O75382;1.677
O95294;1.677
P78371;1.674
P78371;1.674
P78371;1.674
Q9UQ84;1.669
Q9UQ84;1.669
Q9Y4G8;1.668
Q9NP64;1.668
Q7Z3T8;1.661
Q9UQ84;1.659
Q9UQ84;1.659
Q9UQ84;1.659
Q9UQ84;1.659
Q9UQ84;1.659
P27348;1.647
P42858;1.631
P46013;1.630
Q9UJU6;1.627
O75962;1.627
Q8TDZ2;1.622
Q9BTC0;1.617
Q9BTC0;1.617
Q9BTC0;1.617
Q9BTC0;1.617
P62081;1.615
P62081;1.615
Q15648;1.613
Q15648;1.613
P25054;1.613
Q15121;1.612
Q15121;1.612
Q15121;1.612
Q15121;1.612
Q16875;1.610
Q16875;1.610
P40925;1.607
P40925;1.607
O95747;1.607
O95149;1.605
Q9BTC0;1.605
Q9Y4G8;1.600
Q9ULT8;1.600
O95747;1.599
O95747;1.599
O95747;1.599
Q14722|Q13303;1.597
Q14722|Q13303;1.597
Q14722|Q13303;1.597
Q00537;1.595
Q9HAW4;1.594
P36542;1.592
P36542;1.592
Q16875;1.591
P40925;1.589
P40925;1.589
Q9Y3P9;1.589
Q9Y3P9;1.589
Q9Y3P9;1.589
Q9Y3P9;1.589
Q9HDC5;1.585
P18846;1.583
P18846;1.583
O95456;1.570
Q8WWI1;1.569
Q9NYZ3;1.567
P11387;1.564
Q14738;1.564
Q00537;1.564
Q00537;1.564
P13807;1.562
P0CW22;1.561
P30086;1.560
O60237;1.549
Q9NQS7;1.548
Q16875;1.546
P62753;1.541
P62753;1.541
P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99879|Q99877|P23527|Q16778|Q5QNW6|P57053;1.540
P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99879|Q99877|P23527|Q16778|Q5QNW6|P57053;1.540
Q6ZU80;1.540
Q9NYZ3;1.537
O75962;1.535
P13010;1.533
O75382;1.532
Q9Y2I7;1.532
Q9HDC5;1.530
Q9P2M7;1.530
Q9P2M7;1.530
Q9P2M7;1.530
P62244;1.529
P62244;1.529
Q15121;1.528
Q15121;1.528
Q15121;1.528
Q15121;1.528
Q6ZUM4;1.528
Q6P6C2;1.527
P13807;1.527
O75995;1.526
P18846;1.516
Q6P6C2;1.516
P18846;1.514
P18846;1.514
P25054;1.513
P25054;1.513
P55084;1.512
O95456;1.512
Q8TAP6;1.511
Q8TAP6;1.511
Q9Y4B4;1.510
Q14722|Q13303;1.504
Q14722|Q13303;1.504
Q14722|Q13303;1.504
O75995;1.502
O75995;1.502
O95456;1.502
O95456;1.502
Q16875;1.501
Q16875;1.501
Q9HDC5;1.499
P04075|P09972|P05062;1.496
P62081;1.496
P62081;1.496
P62081;1.496
O00566;1.492
Q15058;1.492
O95456;1.488
P13807;1.487
P13807;1.487
P18846;1.486
Q9UJU6;1.486
Q15058;1.485
O14974;1.482
Q15121;1.477
Q15121;1.477
Q15121;1.477
Q7Z3T8;1.476
Q14738;1.476
Q14738;1.476
P09543;1.474
Q9Y4B4;1.473
O60234;1.472
Q14738;1.472
Q14738;1.468
Q14738;1.468
P10809;1.467
P10809;1.467
O95149;1.467
Q5XKK7;1.465
P62081;1.465
Q13557;1.465
Q9Y4G8;1.463
Q9Y4G8;1.463
Q8TAP6;1.460
Q9UJU6;1.459
Q9UJU6;1.459
Q9UJU6;1.459
Q14738;1.459
P62244;1.457
P62244;1.457
Q9Y520;1.454
Q9Y4G8;1.453
Q8WWI1;1.451
Q14722|Q13303;1.449
Q14722|Q13303;1.449
Q14722|Q13303;1.449
Q00325;1.449
Q00325;1.449
O75962;1.447
O75962;1.447
O75962;1.447
Q6AHZ1;1.446
P36542;1.446
Q7Z2W4;1.445
P49773;1.445
P31146;1.445
P53671;1.443
Q16875;1.442
P13612;1.438
P13612;1.438
O75962;1.438
O75962;1.438
O75962;1.438
Q14738;1.437
Q14738;1.437
O14924;1.435
O14924;1.435
Q9Y2K5;1.434
P61088;1.433
P13612;1.433
P13612;1.433
P13612;1.433
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.432
Q9UJU6;1.431
Q9UJU6;1.431
Q9UJU6;1.431
Q9UJU6;1.431
Q9Y520;1.430
Q9Y520;1.430
Q9Y520;1.430
Q9P2M7;1.430
Q9P2M7;1.430
Q9P2M7;1.430
Q58FF7|P08238;1.429
Q6AHZ1;1.425
P62244;1.424
P62244;1.424
P20290|Q96K17;1.424
P20290|Q96K17;1.424
Q9BT25;1.422
Q9BT25;1.422
P25054;1.421
P25054;1.421
O75962;1.419
O75962;1.419
O95294;1.417
O14924;1.416
O14924;1.416
P16150;1.413
Q32P51|P09651|P51991;1.413
Q32P51|P09651|P51991;1.413
Q32P51|P09651|P51991;1.413
P20671|Q96KK5|Q99878|P0C0S8;1.412
P20671|Q96KK5|Q99878|P0C0S8;1.412
O14974;1.406
O14974;1.406
P13612;1.406
P13612;1.406
P13612;1.406
Q8TB68;1.406
Q08211;1.405
Q14865;1.402
Q14865;1.402
P62269;1.402
P62195;1.402
P62195;1.402
Q9Y333;1.399
Q9Y333;1.399
Q5XKK7;1.398
Q9UJU6;1.398
Q9UJU6;1.398
Q9UJU6;1.398
Q9UJU6;1.398
P67809|P16989|Q9Y2T7;1.398
P67809|P16989|Q9Y2T7;1.398
